year,state,n
2008,DE,3
2008,IN,11
2008,MO,6
2008,MT,2
2008,NC,14
2008,ND,2
2008,NH,3
2008,UT,6
2008,WA,11
2010,AL,4
2010,AR,2
2010,AZ,4
2010,CA,35
2010,CO,9
2010,CT,5
2010,FL,22
2010,GA,8
2010,HI,3
2010,IA,4
2010,ID,2
2010,IL,14
2010,KS,2
2010,MA,9
2010,MD,10
2010,ME,2
2010,MI,8
2010,MN,7
2010,NE,3
2010,NH,2
2010,NM,4
2010,NV,2
2010,NY,20
2010,OH,11
2010,OK,4
2010,OR,8
2010,PA,22
2010,RI,1
2010,SC,9
2010,SD,1
2010,TN,4
2010,TX,22
2010,VT,1
2010,WI,11
2012,DE,1
2012,IN,10
2012,MO,5
2012,MT,2
2012,NC,14
2012,ND,1
2012,NH,2
2012,UT,5
2012,VT,1
2012,WA,11
2014,AL,5
2014,AR,3
2014,AZ,7
2014,CA,35
2014,CO,11
2014,CT,7
2014,FL,23
2014,GA,11
2014,HI,2
2014,IA,6
2014,ID,3
2014,IL,12
2014,KS,4
2014,MA,9
2014,MD,8
2014,ME,3
2014,MI,17
2014,MN,11
2014,NE,2
2014,NH,4
2014,NM,4
2014,NV,2
2014,NY,23
2014,OH,16
2014,OK,4
2014,OR,10
2014,PA,26
2014,SC,6
2014,SD,1
2014,TN,6
2014,TX,26
2014,VT,1
2014,WI,14
2014,WY,1
2016,DE,3
2016,IN,8
2016,MO,6
2016,MT,1
2016,NC,14
2016,NH,3
2016,OR,5
2016,UT,5
2016,VT,1
2016,WA,12
2018,AL,2
2018,AR,3
2018,AZ,6
2018,CA,32
2018,CO,10
2018,CT,5
2018,FL,23
2018,GA,10
2018,HI,3
2018,IA,5
2018,ID,2
2018,IL,10
2018,KS,3
2018,MA,9
2018,MD,11
2018,ME,3
2018,MI,12
2018,MN,9
2018,NE,3
2018,NH,3
2018,NM,3
2018,NV,2
2018,NY,21
2018,OH,14
2018,OK,4
2018,OR,5
2018,PA,23
2018,RI,1
2018,SC,7
2018,SD,1
2018,TN,6
2018,TX,22
2018,VT,1
2018,WI,12
